ACCOUNT_HEADER_COUNT,ACCOUNT_LINE_COUNT,ACCOUNT_COUNT,ACCOUNT_ID
4,4,4,1010101998
4,3,5,1010102000
216,37,400,1010201000
667,90,2820,1010401000
119,19,204,1011001000
1,5,5,1012001001
19,40,141,1013101000
155,13,241,1080101000
655,892,7240,1080201000
79,58,241,1080201002
66,19,142,1080201003
7,10,18,1080201004
61,8,74,1080201006
32,40,107,1080201016
2,2,2,1080201017
1,1,1,1080201043
1,1,1,1080202000
12,2,12,1080204000
2,1,2,1080205000
4,1,4,1080206000
2,1,2,1080801000
29,37,90,1081001000
46,57,158,1081002000
2,1,2,1090101000
22,7,22,1090102000
1,1,1,1090103000
7,5,7,1090107000
2,1,2,1090176000
10,1,10,1100201000
1181,1882,6829,1100301001
3,2,3,1100301003
1,1,1,1100301004
50,12,82,1100301005
6,2,6,1100301006
19,34,136,1100301007
4,3,4,1100301008
85,38,233,1100301011
54,23,104,1100301018
5,4,6,1100301110
6,42,46,1100301200
54,43,90,1100301401
29,8,31,1100301402
55,13,65,1100301403
220,117,530,1100301404
20,9,24,1100301405
150,32,262,1100301411
242,52,519,1100301412
17,4,17,1100401000
7,5,10,1100401023
102,47,278,1100501001
30,17,64,1100501004
9,5,9,1100501009
6,28,34,1100501010
3,2,3,1100501021
3,2,3,1100501022
795,404,11213,1100501999
2,1,2,1100502000
5,6,7,1100503000
9,1,9,1100503010
92,17,217,1129001000
46,32,184,1129002000
4,5,7,1129003000
1,1,1,1129003001
424,278,2322,1129101000
221,61,629,1129102000
1,1,1,1129102001
382,280,2677,1129103000
2,2,2,1129103001
369,82,1301,1129104000
83,6,103,1129104001
37,18,131,1130101070
9,7,11,1130101080
69,242,807,1130101090
169,62,705,1130101110
86,15,145,1130101120
85,16,134,1130101130
204,36,363,1130101210
288,51,1048,1130102000
162,614,3245,1130102001
43,5,67,1130102005
7,2,8,1130102006
22,9,46,1130102007
1,1,1,1130102070
71,10,159,1130102100
2,1,2,1130102200
1,2,2,1130104010
13,1,13,1131301000
7,2,7,1131501030
30,2,30,1131502010
6,6,9,1139977000
3,3,3,1201012000
1,1,1,1300102000
1,1,1,1300104000
3,1,3,1300201000
8,3,14,1300202000
12,6,13,1300204000
1,1,1,1300204070
2,2,2,1300277000
6,3,6,1300301000
29,5,36,1300302000
1,1,1,1300302050
5,30,35,1300303000
11,6,11,1300304000
3,2,3,1300304070
5,4,5,1300305000
33,14,57,1300306000
2,2,2,1300377000
2,2,2,1300401000
25,6,32,1300402000
1,1,1,1300403000
12,6,12,1300404000
1,1,1,1300404070
1,1,1,1300405000
16,10,16,1300406000
1,1,1,1300477000
3,4,6,1300501000
159,65,587,1300502000
2,1,2,1300502050
9,6,12,1300504070
2,1,2,1300577000
1,1,1,1309977000
4,3,4,1310201000
15,9,31,1310202000
11,7,12,1310204000
2,2,2,1310277000
6,5,6,1310301000
107,51,235,1310302000
1,1,1,1310302050
5,33,34,1310303000
48,14,48,1310304000
3,3,3,1310305000
2,2,2,1310377000
3,3,3,1310401000
36,25,79,1310402000
11,7,11,1310404000
2,2,2,1310405000
1,1,1,1310477000
1,1,1,1319977000
11,1,11,1370201000
2,2,2,1380501000
56,9,60,1380503001
5,1,5,1380505001
1,1,1,1380506001
3,5,9,1400101000
6,6,6,1400102000
1,4,4,1400103000
2,2,2,1400104002
2,2,2,1400105000
4,1,4,1400202000
1,1,1,1400302000
2,2,2,1400304001
1,1,1,1400304002
1,1,1,1400402000
1,1,1,1400501000
1,1,1,1400504002
1,1,1,1410101000
17,10,18,1410102000
2,2,2,1410104000
2,2,2,1410105000
4,3,5,1410202000
1,1,1,1410204000
1,1,1,1410301000
1,1,1,1410304000
2,1,2,1420611000
8,3,8,1421201000
2,1,2,1421201001
9,6,9,1421202000
4,2,8,1421202001
4,2,4,1421311000
1,1,1,1421312000
3,2,3,1421801000
3,2,3,1421802000
3,4,5,1422001000
3,4,4,1422002000
1,1,1,1422101000
7,5,7,1422102000
8,4,8,1422201000
8,4,8,1422202000
4,2,4,1422211000
1,1,1,1422212000
12,7,12,1422301000
13,7,17,1422302000
2,1,2,1422376000
4,2,4,1422411000
1,1,1,1422412000
2,1,2,1430611000
2,1,2,1431311000
22,1,22,1431312000
2,1,2,1432211000
23,2,24,1432212000
2,1,2,1432411000
33,6,37,1432412000
2,2,2,1442101000
11,11,11,1442103000
2,2,2,1442201000
6,6,6,1452001000
48,9,80,1452001001
4,3,4,1452001004
1,1,1,1452101000
2,3,4,1470101000
106,42,238,1471601000
62,138,482,1471601001
2,2,2,1480403000
6,2,6,1480406000
105,46,339,1480501000
8,7,10,1480601000
24,27,110,1481101000
8,4,11,1501306000
251,553,2544,1510101000
3,3,3,1510103000
89,11,153,1510121000
74,19,130,1510122000
982,908,8713,1510198000
116,65,339,1510198002
811,541,6855,1510198005
407,323,1814,1510301000
318,151,4944,1510301002
514,1079,7745,1510301003
114,111,547,1510301004
575,346,4008,1510301009
2,1,2,1510301010
24,19,41,1510301011
373,537,2090,1510301012
2,1,2,1510301013
84,133,481,1510301015
123,182,549,1510301099
26,11,49,1511301000
9,7,12,1511301001
20,10,31,1511401000
2,2,2,1511401002
10,11,38,1511401004
2,3,3,1511401005
14,13,24,1511401006
46,22,150,1511401010
240,259,853,1511801000
83,162,474,1512001000
25,19,91,1512002000
76,29,107,1512098000
10,7,10,1512098001
4,3,8,1512098007
1,2,2,1512098020
1,2,2,1512098505
1,1,1,1512098543
9,1,9,1520201000
3,3,4,1551604000
4,2,5,1710201000
4,1,4,1710801000
6,2,6,1740302000
1,2,2,1980701000
120,27,354,2110101001
32,12,37,2805101000
4,2,4,2805105000
88,24,141,2805201000
6,3,6,2805204000
12,8,14,2805205000
1,1,1,2808722000
